Epoch,Model Name,Exact,F1,HasAns_Exact,HasAns_F1,NoAns_Exact,NoAns_F1
0.2,bert_large_uncased_20,52.564642466099556,54.033372236312275,16.869095816464238,19.810767301237377,88.15811606391927,88.15811606391927
0.2,learned_pooler_epochs_20,53.71009854291249,55.53992909919946,22.41902834008097,26.083936942441806,84.9116904962153,84.9116904962153
0.4,bert_large_uncased_40,59.13416996546787,61.643499397204344,33.04655870445344,38.07241368809163,85.14718250630783,85.14718250630783
0.4,learned_pooler_epochs_40,59.74058788848648,62.50605428004039,35.32388663967611,40.86275007876512,84.0874684608915,84.0874684608915
0.6,bert_large_uncased_60,61.071338330666215,63.868179648073884,38.006072874493924,43.60777614061759,84.07064760302775,84.07064760302775
0.6,learned_pooler_epochs_60,61.37454729217552,64.32628597539161,39.743589743589745,45.65553194767611,82.94365012615643,82.94365012615643
0.8,bert_large_uncased_80,62.30944159016256,65.75034906315364,44.6693657219973,51.56104831761519,79.89907485281749,79.89907485281749
0.8,learned_pooler_epochs_80,62.66318537859008,65.96747286240529,42.94871794871795,49.566768774517165,82.32127838519764,82.32127838519764
