Epoch,Model Name,Exact,F1,HasAns_Exact,HasAns_F1,NoAns_Exact,NoAns_F1
0,average_pooler_epochs_0,49.91156405289312,49.96419853636014,1.197705802968961,1.3031257122476343,98.4861227922624,98.4861227922624
0,bert_large_uncased_squadv2_epoch00,27.474100901204412,28.303366515700315,0.0,1.660909352380297,54.86963835155593,54.86963835155593
0,learned_pooler_epochs_0,49.06931693758949,49.55984380852004,4.520917678812416,5.503378127287179,93.49032800672835,93.49032800672835
1,average_pooler_epochs_1,63.34540554198602,67.43876382926669,49.89878542510122,58.09724071269947,76.75357443229605,76.75357443229605
1,bert_large_uncased_squadv2_epoch01,64.44874926303378,68.96224099744089,57.18623481781376,66.22616183579851,71.69049621530698,71.69049621530698
1,learned_pooler_epochs_1,65.37522108986776,69.57174877766086,55.38124156545209,63.78633151774042,75.34062237174096,75.34062237174096
2,average_pooler_epochs_2,70.87509475280048,75.19437370484708,59.22739541160594,67.87833991188411,82.48948696383516,82.48948696383516
2,bert_large_uncased_squadv2_epoch02,71.07723406047334,75.57606134692976,64.40620782726046,73.41676389542818,77.7291841883936,77.7291841883936
2,learned_pooler_epochs_2,71.83525646424661,76.12060796136316,62.58434547908232,71.16733777416762,81.05971404541631,81.05971404541631
3,average_pooler_epochs_3,71.0182767624021,75.65180907158553,61.94331983805668,71.22367225150717,80.06728343145501,80.06728343145501
3,bert_large_uncased_squadv2_epoch03,70.74875768550493,75.40771193173174,67.0715249662618,76.40279415746473,74.41547518923466,74.41547518923466
3,learned_pooler_epochs_3,71.79314410848143,76.42442556071289,64.37246963562752,73.64831388028756,79.19259882253995,79.19259882253995
4,average_pooler_epochs_4,71.47309020466605,76.00263903808863,61.69028340080972,70.76237066451193,81.22792262405383,81.22792262405383
4,bert_large_uncased_squadv2_epoch04,72.45009685841826,76.81715608632385,64.74358974358974,73.4902318172948,80.13456686291,80.13456686291
4,learned_pooler_epochs_4,71.86052387770572,76.62229599559925,64.87854251012146,74.41574230022785,78.82253994953743,78.82253994953743
5,bert_large_uncased_squadv2_epoch05,72.00370588730733,76.69642387782365,65.43522267206478,74.83411617769926,78.5534062237174,78.5534062237174
6,bert_large_uncased_squadv2_epoch06,71.20357112776888,76.02168386012988,66.02564102564102,75.6756836152705,76.36669470142978,76.36669470142978
